100
0 7.991496064582361e-02
1 1.533556864526937e-01
2 2.143724465845514e-01
3 2.580220260161589e-01
4 2.807681954160115e-01
5 2.807681954160115e-01
6 2.580220260161589e-01
7 2.143724465845514e-01
8 1.533556864526936e-01
9 7.991496064582358e-02
10 1.533556864526937e-01
11 2.942874072303751e-01
12 4.113777124688525e-01
13 4.951406420005630e-01
14 5.387902214321704e-01
15 5.387902214321704e-01
16 4.951406420005630e-01
17 4.113777124688525e-01
18 2.942874072303749e-01
19 1.533556864526936e-01
20 2.143724465845514e-01
21 4.113777124688525e-01
22 5.750556026463866e-01
23 6.921459078848642e-01
24 7.531626680167219e-01
25 7.531626680167220e-01
26 6.921459078848641e-01
27 5.750556026463866e-01
28 4.113777124688524e-01
29 2.143724465845514e-01
30 2.580220260161589e-01
31 4.951406420005630e-01
32 6.921459078848641e-01
33 8.330776286625455e-01
34 9.065183544694155e-01
35 9.065183544694156e-01
36 8.330776286625455e-01
37 6.921459078848641e-01
38 4.951406420005629e-01
39 2.580220260161588e-01
40 2.807681954160115e-01
41 5.387902214321704e-01
42 7.531626680167219e-01
43 9.065183544694155e-01
44 9.864333151152391e-01
45 9.864333151152394e-01
46 9.065183544694156e-01
47 7.531626680167220e-01
48 5.387902214321704e-01
49 2.807681954160114e-01
50 2.807681954160115e-01
51 5.387902214321704e-01
52 7.531626680167220e-01
53 9.065183544694155e-01
54 9.864333151152394e-01
55 9.864333151152394e-01
56 9.065183544694156e-01
57 7.531626680167220e-01
58 5.387902214321704e-01
59 2.807681954160114e-01
60 2.580220260161589e-01
61 4.951406420005630e-01
62 6.921459078848641e-01
63 8.330776286625458e-01
64 9.065183544694156e-01
65 9.065183544694158e-01
66 8.330776286625455e-01
67 6.921459078848642e-01
68 4.951406420005629e-01
69 2.580220260161589e-01
70 2.143724465845514e-01
71 4.113777124688526e-01
72 5.750556026463866e-01
73 6.921459078848641e-01
74 7.531626680167220e-01
75 7.531626680167220e-01
76 6.921459078848641e-01
77 5.750556026463868e-01
78 4.113777124688525e-01
79 2.143724465845514e-01
80 1.533556864526936e-01
81 2.942874072303749e-01
82 4.113777124688524e-01
83 4.951406420005630e-01
84 5.387902214321704e-01
85 5.387902214321704e-01
86 4.951406420005630e-01
87 4.113777124688525e-01
88 2.942874072303749e-01
89 1.533556864526935e-01
90 7.991496064582358e-02
91 1.533556864526936e-01
92 2.143724465845514e-01
93 2.580220260161588e-01
94 2.807681954160114e-01
95 2.807681954160114e-01
96 2.580220260161589e-01
97 2.143724465845514e-01
98 1.533556864526935e-01
99 7.991496064582357e-02
